Fiscal Year Released,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Return to Prison,Days to Return,Recidivism Type,Offense,New Offense
2013,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,715.0,New,Property-Burglary,Property-Forgery/Fraud
2014,7JD,Parole,Asian or Pacific Islander - Hispanic,25-34,Male,Yes,303.0,New,Drug-Trafficking,Violent-Sex
2013,1JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,8JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,,,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Theft,No recidivism
2014,6JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,200.0,New,Property-Burglary,Property-Burglary
2011,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2010,2JD,Parole,White - Non-Hispanic,35-44,Male,Yes,201.0,Tech,Violent-Assault,No recidivism
2011,4JD,Parole,White - Non-Hispanic,25-34,Female,Yes,202.0,Tech,Other-Other Criminal,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,187.0,Tech,Property-Burglary,No recidivism
2014,7JD,Parole,White - Non-Hispanic,25-34,Male,Yes,44.0,Tech,Violent-Robbery,Public Order-OWI
2014,8JD,Parole,White - Non-Hispanic,25-34,Female,Yes,523.0,Tech,Drug-Trafficking,Drug-Trafficking
2010,2JD,Parole,White - Non-Hispanic,25-34,Male,Yes,305.0,New,Drug-Trafficking,Public Order-OWI
2012,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,55 and Older,Male,Yes,579.0,New,Property-Theft,Property-Burglary
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,5JD,Parole,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,7JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,336.0,Tech,Drug-Trafficking,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,ISC,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,4JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,6JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2012,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,688.0,New,Drug-Trafficking,Drug-Trafficking
2010,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,921.0,New,Property-Theft,Property-Theft
2011,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,5JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2015,4JD,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Yes,1016.0,New,Public Order-OWI,Public Order-Weapons
2012,2JD,Parole,White - Non-Hispanic,35-44,Female,Yes,472.0,New,Property-Forgery/Fraud,Drug-Other Drug
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,Yes,654.0,New,Drug-Trafficking,Drug-Trafficking
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,252.0,Tech,Public Order-Flight/Escape,Public Order-Flight/Escape
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,702.0,New,Property-Theft,Violent-Robbery
2015,8JD,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,7JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,,Paroled w/Immediate Discharge,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,3JD,Parole,White - Non-Hispanic,25-34,Male,Yes,440.0,New,Property-Forgery/Fraud,Violent-Sex
2011,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,247.0,New,Violent-Assault,Violent-Assault
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,231.0,Tech,Violent-Other Violent,No recidivism
2010,7JD,Parole,White - Non-Hispanic,25-34,Male,Yes,513.0,New,Violent-Other Violent,Property-Theft
2012,1JD,Parole,White - Non-Hispanic,45-54,Male,Yes,491.0,New,Drug-Trafficking,Drug-Trafficking
2015,8JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,3JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2014,,,White - Hispanic,25-34,Male,Yes,468.0,Tech,Violent-Sex,Other-Other Criminal
2013,5JD,Parole Granted,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Special Sentence Revocation,No recidivism
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,5JD,Paroled to Detainer - Iowa,White - Non-Hispanic,Under 25,Male,Yes,472.0,New,Violent-Assault,Violent-Assault
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,,Paroled to Detainer - INS,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,3JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,4JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,6JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Sex Offender Registry/Residency,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2010,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2014,2JD,Parole,Black - Non-Hispanic,Under 25,Male,Yes,616.0,New,Property-Theft,Property-Theft
2013,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,377.0,Tech,Property-Theft,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,35-44,Male,Yes,607.0,New,Property-Theft,Drug-Trafficking
2014,,,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2011,Interstate Compact,Parole,Black - Non-Hispanic,25-34,Female,No,,No Recidivism,Drug-Other Drug,No recidivism
2014,1JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,69.0,Tech,Drug-Trafficking,Drug-Trafficking
2011,3JD,Parole,White - Non-Hispanic,25-34,Male,Yes,77.0,Tech,Other-Other Criminal,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Other-Other Violent,No recidivism
2012,ISC,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,5JD,Parole,White - Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,3JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,1JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2011,,Discharged – End of Sentence,White - Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,Yes,590.0,New,Drug-Trafficking,Property-Theft
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,3JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,327.0,New,Property-Burglary,Violent-Assault
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,6JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,1JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2011,2JD,Parole,White - Non-Hispanic,25-34,Male,Yes,1014.0,New,Drug-Drug Possession,Violent-Assault
2015,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2014,5JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Paroled to Detainer - Out of State,Black - Non-Hispanic,35-44,Male,Yes,340.0,Tech,Violent-Murder/Manslaughter,Violent-Murder/Manslaughter
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,7JD,Parole,White - Non-Hispanic,45-54,Female,Yes,274.0,Tech,Violent-Assault,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,520.0,New,Public Order-Traffic,Violent-Assault
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,305.0,Tech,Property-Burglary,Property-Burglary
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2013,,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,3JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,6JD,Parole,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,3JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,Interstate Compact,Parole,White - Non-Hispanic,35-44,Female,Yes,145.0,New,Property-Theft,Property-Forgery/Fraud
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Yes,955.0,New,Property-Burglary,Property-Forgery/Fraud
2015,,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2011,Interstate Compact,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,2JD,Parole,White - Non-Hispanic,55 and Older,Male,Yes,85.0,New,Public Order-OWI,Public Order-OWI
2011,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Yes,1000.0,New,Violent-Assault,Property-Burglary
2015,,Paroled w/Immediate Discharge,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Kidnap,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2013,,Paroled w/Immediate Discharge,White - Non-Hispanic,25-34,Male,Yes,422.0,New,Public Order-Alcohol,Drug-Trafficking
2011,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Violent-Other Violent,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2012,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2014,5JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,3JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,7JD,Released to Special Sentence,Black - Non-Hispanic,25-34,Male,Yes,449.0,New,Violent-Sex,Drug-Trafficking
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Public Order-OWI,No recidivism
2014,,,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,6JD,Parole Granted,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Burglary,No recidivism
2012,ISC,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,Yes,146.0,New,Public Order-Alcohol,Public Order-Alcohol
2011,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,628.0,New,Drug-Trafficking,Drug-Drug Possession
2010,8JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,442.0,Tech,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,35-44,Male,Yes,393.0,New,Drug-Drug Possession,Property-Theft
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2014,,,White - Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,1JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Violent-Assault,No recidivism
2015,,Paroled to Detainer - INS,Asian or Pacific Islander - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,2JD,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,140.0,Tech,Drug-Trafficking,Drug-Trafficking
2010,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,1JD,Parole Granted,White - Non-Hispanic,25-34,Female,Yes,901.0,Tech,Property-Burglary,Property-Burglary
2015,,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,8JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,572.0,New,Drug-Trafficking,Property-Theft
2015,,Paroled w/Immediate Discharge,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Arson,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,5JD,Parole Granted,Black - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,1JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,329.0,Tech,Drug-Trafficking,Drug-Trafficking
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Male,Yes,1033.0,New,Public Order-OWI,Property-Burglary
2013,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,133.0,Tech,Property-Burglary,No recidivism
2012,3JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,7JD,Special Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,7JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2013,5JD,Parole Granted,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Violent-Other Violent,No recidivism
2012,,Discharged – End of Sentence,Black - Hispanic,35-44,Male,Yes,167.0,New,Property-Theft,Property-Forgery/Fraud
2014,,,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,1JD,Parole,White - Non-Hispanic,35-44,Female,Yes,27.0,New,Property-Theft,Property-Theft
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Parole,Black - Non-Hispanic,35-44,Male,Yes,286.0,Tech,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Drug Possession,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,1093.0,New,Drug-Drug Possession,Drug-Drug Possession
2013,1JD,Parole Granted,White - Non-Hispanic,25-34,Female,Yes,613.0,New,Property-Burglary,Public Order-Flight/Escape
2011,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,5JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Theft,No recidivism
2010,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,6JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,412.0,New,Property-Burglary,Violent-Assault
2015,5JD,Parole Granted,Black - Non-Hispanic,Under 25,Male,Yes,545.0,Tech,Property-Theft,Property-Theft
2010,3JD,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2012,ISC,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,8JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,3JD,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,695.0,New,Violent-Assault,Violent-Assault
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Female,Yes,268.0,New,Public Order-Other Public Order,Violent-Assault
2012,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Parole Granted,White - Hispanic,Under 25,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,293.0,New,Violent-Assault,Property-Theft
2013,7JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,2JD,Parole,White - Non-Hispanic,25-34,Male,Yes,318.0,New,Violent-Robbery,Other-Other Criminal
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,7JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,45-54,Female,Yes,140.0,Tech,Drug-Drug Possession,No recidivism
2014,8JD,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,Yes,852.0,Tech,Violent-Sex,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,6JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,Under 25,Male,Yes,132.0,New,Drug-Trafficking,Drug-Trafficking
2014,5JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Paroled w/Immediate Discharge,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,45-54,Male,Yes,33.0,Tech,Violent-Assault,Violent-Assault
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Yes,469.0,New,Public Order-OWI,Public Order-OWI
2013,3JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2011,Interstate Compact,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,Yes,932.0,New,Drug-Other Drug,Property-Theft
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,284.0,New,Other-Other Criminal,Drug-Trafficking
2013,,Paroled w/Immediate Discharge,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2014,8JD,Parole,White - Non-Hispanic,45-54,Male,Yes,414.0,Tech,Drug-Trafficking,Drug-Trafficking
2012,8JD,Parole,White - Non-Hispanic,35-44,Male,Yes,660.0,New,Violent-Assault,Violent-Assault
2014,5JD,Parole,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Other-Other Criminal,No recidivism
2013,7JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,505.0,New,Drug-Trafficking,Drug-Trafficking
2013,3JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,19.0,Tech,Public Order-OWI,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Female,Yes,191.0,New,Violent-Assault,Violent-Assault
2013,8JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
